ID;First_pokemon;First_attack;Second_attack;Third_attack;Fouth_attack;Second_pokemon;First_attack.1;Second_attack.1;Third_attack.1;Fouth_attack.1;Winner
64;368;202;87;247;59;598;290;282;104;474;368
65;746;447;259;138;473;584;33;28;479;523;746
66;350;44;38;242;428;187;268;227;237;217;350
67;303;355;532;542;54;198;290;608;437;226;303
68;169;89;189;523;175;701;270;414;569;218;701
69;569;173;168;92;313;115;38;26;70;118;115
70;231;173;343;343;218;172;91;214;223;315;172
71;71;129;192;99;266;440;31;54;127;232;71
72;659;76;86;468;393;610;74;522;345;416;610
73;570;271;496;343;555;557;129;380;182;338;557
74;712;216;414;129;411;40;259;87;5;207;712
75;451;253;270;70;209;352;164;29;182;496;451
76;661;253;84;203;528;95;445;70;32;494;95
77;540;326;552;161;156;4;80;412;72;431;540
78;130;239;112;207;59;319;1;237;103;579;130
79;125;270;130;146;56;418;239;311;241;211;418
80;309;57;63;267;239;276;163;36;182;189;276
81;579;237;432;45;211;612;421;447;37;510;612
82;716;253;608;374;214;80;103;445;115;114;80
83;482;473;271;389;496;535;84;290;486;113;535
84;376;237;156;377;93;37;116;259;414;197;37
85;6;242;34;363;129;328;10;368;371;261;328
86;343;565;36;318;102;159;303;363;249;218;159
87;509;363;59;213;59;574;156;380;154;253;574
88;546;239;263;182;184;530;506;194;114;89;546
89;486;173;249;428;433;229;314;249;410;245;229
90;686;156;14;596;67;213;212;242;515;94;213
91;304;567;168;363;113;386;168;271;259;502;386
92;514;36;87;33;351;732;241;542;53;168;732
93;161;311;57;401;38;757;216;180;356;129;161
94;150;334;290;565;203;265;97;263;329;189;265
95;436;214;9;369;157;701;15;411;523;501;701
96;221;63;29;164;393;265;324;214;526;442;265
97;436;369;118;269;526;603;565;111;63;226;603
98;242;86;503;240;402;365;406;214;206;99;242
99;792;48;129;525;247;251;420;457;227;91;792
100;607;72;213;320;269;295;164;61;36;29;607
101;439;218;57;203;56;209;466;33;197;366;209
102;657;202;40;141;164;360;34;214;16;203;657
103;436;270;9;205;70;40;210;91;264;90;40
104;325;203;237;76;164;408;207;203;442;242;408
105;472;91;402;182;352;89;92;153;270;85;472
106;71;477;244;357;8;777;342;70;406;525;71
107;47;117;365;92;202;615;227;447;447;91;47
108;5;526;213;263;184;670;488;502;52;92;5
109;793;15;428;113;33;314;216;363;565;389;314
110;195;29;70;497;435;461;164;164;285;502;195
111;493;70;421;46;496;568;495;343;240;104;493
112;400;523;263;497;363;341;273;213;25;527;341
113;63;496;263;240;228;297;445;76;120;14;63
114;541;396;339;319;63;446;241;445;203;387;541
115;141;250;89;290;330;152;173;216;182;182;141
116;54;168;285;305;77;115;386;496;170;226;115
117;378;105;565;445;246;161;290;239;499;85;161
118;224;424;38;111;328;316;355;28;164;148;316
119;311;416;249;341;179;398;181;203;181;180;398
120;298;120;148;496;38;35;173;87;242;174;298
121;356;53;214;416;450;132;272;271;447;76;356
122;103;123;445;17;180;370;58;328;111;105;103
123;503;401;97;43;240;453;15;235;620;182;503
124;600;539;335;207;416;598;164;340;249;214;600
125;445;174;446;111;218;45;290;569;272;38;445
126;360;276;414;263;348;548;114;311;258;263;548
127;303;59;402;97;503;133;13;43;199;400;133
128;51;437;73;241;565;331;34;29;263;241;51
129;171;519;111;237;424;559;510;281;360;510;171
130;758;263;244;213;213;129;36;401;36;48;758
131;6;394;280;102;189;255;166;166;166;166;6
132;698;156;71;202;510;154;38;44;350;70;154
133;92;19;365;213;19;491;109;263;433;371;491
134;381;434;10;216;15;73;197;74;116;104;381
135;354;207;397;388;89;271;113;216;216;497;271
136;219;277;310;285;33;49;204;474;78;345;219
137;736;523;412;156;189;244;354;366;164;270;244
138;683;156;400;332;510;245;401;189;216;523;245
139;533;527;244;203;572;452;331;363;311;104;533
140;200;216;253;38;5;588;500;417;369;412;588
141;403;437;503;56;58;636;373;218;263;451;403
142;56;188;154;536;213;561;14;400;33;116;561
143;54;226;412;202;38;119;156;194;372;441;119
144;629;17;263;397;129;141;438;565;37;115;629
145;547;473;347;278;248;779;241;447;174;109;547
146;380;446;229;206;203;547;565;478;363;416;547
147;407;29;428;164;424;307;207;115;573;571;307
148;153;203;189;400;416;559;280;290;214;70;153
149;306;304;182;156;113;268;171;490;180;334;306
150;89;237;129;201;367;382;216;291;321;445;89
151;54;226;103;476;226;32;347;227;207;417;32
152;172;223;528;63;173;745;526;447;528;164;745
153;16;363;403;106;216;110;38;319;164;184;110
154;537;492;85;240;84;734;184;523;368;106;537
155;278;223;253;119;445;94;203;256;45;311;278
156;342;376;324;213;98;643;213;92;17;263;643
157;435;490;341;213;14;165;258;216;523;182;165
158;638;416;253;565;173;691;207;335;244;399;691
159;734;522;450;522;522;718;58;120;430;372;718
160;298;445;555;280;555;781;460;519;524;203;298
161;42;322;38;514;7;113;282;264;59;498;42
162;97;510;189;372;282;316;468;496;290;156;97
163;416;263;510;258;451;397;120;205;184;153;397
164;483;562;91;270;474;400;94;164;181;38;483
165;275;38;24;235;38;155;48;82;350;211;155
166;154;48;542;444;92;461;502;237;283;412;154
167;309;164;403;369;247;4;214;363;412;520;4
168;539;285;207;417;608;30;21;240;242;168;30
169;545;46;371;396;36;266;537;38;218;246;545
170;283;263;70;56;469;340;98;182;351;34;340
171;232;63;241;479;526;254;129;38;33;496;254
172;384;412;363;387;76;427;201;49;184;270;427
173;161;83;104;207;130;781;109;174;53;50;161
174;496;33;189;87;94;420;63;182;387;270;496
175;268;8;406;363;335;159;413;203;598;239;159
176;473;606;15;189;20;593;496;218;7;370;473
177;550;128;555;174;389;475;5;490;608;277;550
178;199;36;182;287;594;785;76;263;220;241;785
179;385;29;240;433;472;732;156;168;213;488;732
180;488;214;96;252;95;196;92;34;408;129;488
181;30;43;254;20;92;587;138;259;277;433;30
182;36;162;414;91;203;494;241;91;495;332;494
183;513;164;490;396;206;184;141;257;355;366;184
184;129;218;263;34;175;106;213;335;114;213;129
185;6;83;213;241;36;604;620;214;213;111;6
186;137;29;565;416;106;315;164;189;522;332;137
187;83;216;117;189;397;509;291;114;512;55;509
188;585;328;484;350;408;534;477;565;156;399;585
189;743;523;163;500;283;57;10;214;426;204;57
190;220;350;379;270;205;723;565;95;203;473;723
191;764;369;352;416;104;665;521;213;34;242;764
192;708;246;432;225;34;439;204;270;189;58;708
193;28;253;496;116;18;545;414;431;444;399;545
194;23;117;164;168;119;796;201;416;433;571;23
195;698;315;104;172;216;147;197;387;561;130;147
196;306;101;9;227;472;635;226;311;156;304;635
197;158;263;2;521;521;666;129;280;451;207;158
198;55;117;101;63;589;750;103;156;495;393;750
199;513;226;347;313;241;439;432;64;237;447;513
200;769;451;207;203;397;264;510;270;203;46;264
201;232;416;241;67;157;499;384;409;416;428;499
202;23;17;99;115;173;623;16;473;143;365;23
203;97;445;610;34;114;250;59;164;430;101;250
204;324;270;263;523;342;544;462;535;104;428;544
205;517;115;412;411;213;10;38;44;445;69;517
206;586;237;554;203;213;461;168;324;502;363;461
207;779;109;247;345;398;349;371;116;213;237;349
208;669;107;114;151;168;226;46;363;223;456;226
209;623;149;246;86;216;53;249;280;237;412;623
210;538;248;182;85;281;718;356;161;192;372;718
211;438;290;374;67;264;242;175;350;372;48;438
212;523;581;249;530;29;759;59;163;530;415;523
213;14;81;173;173;33;103;506;168;29;237;103
214;378;14;256;237;132;152;115;503;202;237;152
215;478;447;269;277;182;361;76;19;175;416;478
216;137;210;91;11;458;698;76;565;33;37;137
217;354;189;267;497;284;739;347;447;75;443;739
218;233;364;290;42;292;684;276;1;58;280;684
219;291;38;18;18;290;605;620;283;36;474;291
220;96;9;168;425;184;264;270;263;92;148;264
221;730;175;164;13;168;137;179;31;206;241;137
222;129;203;117;30;98;744;589;251;242;497;129
223;611;184;330;496;36;107;468;232;503;276;611
224;58;92;168;104;241;560;179;7;92;184;560
225;658;104;263;340;129;146;99;249;45;92;658
226;625;606;347;173;148;753;215;244;316;214;625
227;524;14;400;363;364;27;314;213;13;526;524
228;794;492;237;240;428;474;477;114;180;180;794
229;365;200;76;497;99;391;363;412;207;412;391
230;592;473;1;34;528;585;33;92;414;446;592
231;512;264;184;67;264;586;106;164;104;28;512
232;526;38;176;164;97;424;205;86;268;529;424
233;70;492;373;218;216;456;523;163;444;269;70
234;540;253;451;427;472;288;316;205;63;271;540
235;347;363;173;474;255;389;496;94;536;203;347
236;689;64;36;129;468;128;114;240;61;117;128
237;211;572;8;281;92;701;403;428;397;347;701
238;336;34;271;115;220;385;38;472;126;514;336
239;594;496;335;237;609;80;298;214;103;218;80
240;785;411;267;188;360;490;214;207;304;417;490
241;425;335;472;205;87;308;60;60;97;214;425
242;27;237;99;529;213;731;92;526;314;261;731
243;459;527;565;216;138;399;291;164;392;256;459
244;421;468;502;248;471;494;82;280;164;218;421
245;578;271;619;324;351;768;231;434;585;246;768
246;63;610;67;526;43;82;446;118;334;567;63
247;257;529;25;339;213;221;68;164;33;444;257
248;4;296;335;491;474;150;446;115;216;28;4
249;546;318;414;425;442;333;263;468;76;89;546
250;308;44;240;290;593;544;122;241;279;335;544
251;213;213;39;371;103;442;164;104;314;241;213
252;575;417;371;272;168;302;102;253;182;240;302
253;209;95;445;179;202;645;153;216;304;419;209
254;92;29;104;37;526;768;39;434;370;34;92
255;116;444;418;272;7;672;374;523;213;283;116
256;132;102;189;240;244;69;138;428;94;447;69
257;568;351;247;423;565;396;29;524;180;219;568
258;644;182;475;243;156;218;219;150;68;219;644
259;321;187;213;276;70;163;361;416;76;428;163
260;17;40;81;40;527;164;94;50;182;285;164
261;715;410;214;164;290;190;119;38;1;102;715
262;51;321;102;565;374;57;496;218;97;497;51
263;237;444;83;156;182;448;445;241;400;36;448
264;580;240;497;565;213;676;174;341;524;497;580
265;789;333;594;444;182;726;518;1;98;122;726
266;420;406;58;148;85;718;129;76;441;428;420
267;83;86;264;9;442;499;415;417;156;290;499
268;526;399;176;435;148;159;29;115;64;203;159
269;115;370;253;469;282;56;249;241;45;283;56
270;358;562;409;156;269;636;243;240;477;94;358
271;54;60;193;283;230;532;216;304;203;138;532
272;534;363;417;113;65;798;8;264;428;433;534
273;768;34;203;414;397;179;542;375;432;286;768
274;94;204;64;151;536;724;168;492;433;97;724
275;795;525;174;616;70;437;114;207;213;411;795
276;313;89;290;214;157;432;610;67;356;184;432
277;305;290;505;314;569;251;457;446;156;402;305
278;269;337;555;259;37;289;33;173;527;81;269
279;593;290;282;21;490;733;522;522;430;77;733
280;568;565;332;290;43;428;241;8;351;478;428
281;290;106;106;106;81;287;363;241;493;387;287
282;762;216;250;56;263;733;81;77;78;522;762
283;217;237;237;237;237;100;261;271;499;371;100
284;668;248;496;502;496;87;173;347;409;207;668
285;165;55;261;179;59;49;74;236;78;491;165
286;123;230;476;38;117;771;226;263;285;216;771
287;261;156;237;247;205;154;406;29;92;97;154
288;225;241;205;153;44;640;218;129;101;263;640
289;313;441;164;184;70;103;180;174;5;212;103
290;106;130;117;95;264;505;203;374;526;173;505
291;453;253;416;244;80;614;36;116;372;182;614
292;107;214;12;12;182;48;305;174;474;305;48
293;722;83;203;270;216;590;189;89;164;15;590
294;559;9;39;496;414;431;8;60;272;87;431
295;141;82;117;58;53;727;122;114;216;207;727
296;490;182;365;143;497;239;581;196;181;164;490
297;490;48;168;207;448;340;97;104;85;486;340
298;373;305;290;173;63;128;29;615;503;346;128
299;3;74;270;203;115;730;129;64;413;355;3
300;502;103;577;282;70;91;19;466;515;314;502
301;714;343;283;464;584;104;431;213;106;274;714
302;788;331;203;219;207;276;270;348;197;372;276
303;459;283;285;285;402;16;318;33;290;366;16
304;432;594;415;164;354;143;270;104;70;329;432
305;724;526;307;500;52;2;15;402;210;77;724
306;648;216;45;532;340;533;240;271;92;263;648
307;250;290;145;434;430;357;555;244;445;428;250
308;155;406;263;241;225;439;447;281;343;263;155
309;447;522;117;15;425;20;188;241;230;398;20
310;366;565;565;355;92;371;182;350;311;360;366
311;337;398;179;94;101;770;182;419;54;240;337
312;358;428;7;412;148;765;1;39;91;156;358
313;198;474;51;182;78;110;521;240;192;33;198
314;152;468;263;58;201;760;28;503;259;110;760
315;164;286;401;201;85;577;138;39;215;156;164
316;174;260;250;56;67;646;253;565;290;151;646
317;438;428;91;249;415;59;241;417;46;387;59
318;614;610;514;37;335;443;38;211;38;218;614
319;789;526;58;538;297;127;330;156;239;560;127
320;504;213;482;5;373;421;375;93;445;472;421
321;565;416;247;148;416;214;555;195;197;104;214
322;158;84;18;46;92;635;565;21;39;1;635
323;386;347;227;194;399;21;17;365;216;189;21
324;408;270;245;428;445;404;226;133;334;189;404
325;349;89;416;149;63;440;57;374;421;56;349
326;410;213;239;29;314;295;223;503;202;216;410
327;83;120;89;184;99;569;182;282;383;294;569
328;249;514;180;379;290;411;36;36;442;442;249
329;173;10;92;352;421;609;447;227;320;79;173
330;770;399;304;414;113;572;290;92;104;402;572
331;51;437;225;148;102;473;255;129;164;247;473
332;452;244;244;326;263;106;171;269;567;219;106
333;550;351;373;188;182;769;88;399;240;523;550
334;525;63;445;556;237;740;148;381;597;173;525
335;464;445;213;589;314;762;231;173;218;330;762
336;147;347;156;36;86;798;492;248;285;247;798
337;572;182;565;218;416;45;569;203;433;58;572
338;569;383;227;154;213;741;208;74;526;91;569
339;193;403;76;565;168;28;366;240;241;173;28
340;247;249;417;129;364;445;158;203;363;29;247
341;511;29;431;235;157;280;416;387;68;396;280
342;435;219;189;334;70;44;311;91;63;510;44
343;794;50;595;207;512;359;313;285;182;67;794
344;196;7;240;496;474;758;417;157;33;156;758
345;470;214;145;352;291;410;157;466;491;466;410
346;631;92;36;416;94;164;382;500;196;610;164
347;451;451;351;203;70;790;495;33;38;416;451
348;211;127;5;503;203;442;445;45;240;466;442
349;773;603;363;608;332;582;240;451;85;104;773
350;403;496;334;363;129;59;415;416;182;497;59
351;401;45;189;218;423;413;102;477;263;496;413
352;228;362;57;129;360;679;151;156;405;156;679
353;753;430;237;203;94;196;351;63;567;102;196
354;578;347;236;263;151;434;484;402;174;263;434
355;210;133;188;385;59;40;620;506;29;177;40
356;38;31;214;102;70;716;409;164;203;514;716
357;18;106;450;106;334;458;173;182;527;237;458
358;538;271;8;318;610;742;437;156;332;74;538
359;702;403;235;164;396;627;250;469;55;479;702
360;403;213;57;290;504;412;102;113;203;409;403
361;517;173;249;334;148;136;535;117;315;63;136
362;465;253;441;565;15;89;173;237;156;29;465
363;505;241;213;227;104;502;374;405;342;103;505
364;601;207;405;293;103;644;58;106;263;333;644
365;459;405;445;235;93;84;76;237;117;207;84
366;548;282;129;296;253;525;240;213;419;523;525
367;707;156;184;164;419;521;182;496;332;242;521
368;14;450;33;81;450;62;231;468;371;315;62
369;728;189;156;111;24;501;133;249;611;352;728
370;182;404;496;390;340;246;565;432;442;157;246
371;741;91;213;283;263;117;216;99;102;21;741
372;29;174;588;435;468;431;97;409;148;67;431
373;719;227;44;398;421;574;207;270;282;67;574
374;209;156;103;29;405;477;216;277;396;91;477
375;492;407;82;91;89;37;398;214;126;431;37
376;425;14;264;14;9;43;205;53;565;216;425
377;207;496;283;496;240;284;534;89;416;427;284
378;749;249;214;425;203;512;14;70;258;263;512
379;539;244;113;478;240;153;117;163;156;115;153
380;152;213;205;102;189;159;239;238;64;214;159
381;738;343;620;496;210;18;106;527;334;81;738
382;182;168;81;468;182;579;156;234;207;496;579
383;69;93;227;216;356;302;330;143;228;369;69
384;173;346;156;374;610;713;355;246;218;70;713
385;488;496;339;280;433;199;561;523;213;173;488
386;683;242;430;351;214;506;374;255;254;363;683
387;2;123;215;102;121;619;328;565;210;68;2
388;735;333;450;164;207;255;166;166;166;166;735
389;70;214;433;472;148;800;618;411;416;257;70
390;120;470;205;463;414;67;8;207;283;189;67
391;738;202;343;576;241;610;113;402;565;213;610
392;68;530;145;179;111;397;120;104;34;34;397
393;540;115;7;571;372;714;104;92;196;264;540
394;184;182;48;173;253;197;207;86;216;25;184
395;577;502;496;259;384;58;117;231;85;332;58
396;750;182;379;33;206;29;216;213;34;491;29
397;391;341;203;73;237;640;153;430;227;148;391
398;211;250;168;411;281;737;283;588;240;52;211
399;462;512;355;416;216;694;214;11;12;203;694
400;337;263;223;156;271;147;182;197;416;215;147
401;459;416;218;589;202;644;196;214;164;324;644
402;615;92;315;283;213;652;76;496;218;230;615
403;786;153;4;286;483;180;156;38;91;33;786
404;247;565;424;99;488;594;444;496;1;38;594
405;536;363;290;435;399;720;374;237;44;442;536
406;729;264;9;91;3;586;182;189;350;565;586
407;715;249;218;387;249;80;330;207;219;112;715
408;516;525;63;30;179;740;148;273;270;173;516
409;440;290;280;405;392;525;258;84;175;431;525
410;174;99;210;258;232;410;184;34;83;237;410
411;634;214;445;227;214;424;5;63;484;431;424
412;252;360;340;102;182;797;571;328;237;598;797
413;317;210;363;404;203;294;311;298;127;76;317
414;463;189;230;178;226;790;237;89;38;196;790
415;770;207;58;148;352;7;251;154;53;34;7
416;110;92;277;168;270;783;261;104;502;267;110
417;454;189;164;414;350;469;370;267;156;331;469
418;241;56;260;446;56;731;394;290;14;432;241
419;688;228;200;203;30;190;38;477;1;428;688
420;271;246;365;373;394;21;29;182;115;119;271
421;738;500;216;182;497;789;290;59;290;360;738
422;476;146;612;237;204;223;210;398;70;523;476
423;574;272;411;53;468;283;545;156;5;213;574
424;621;156;207;279;136;551;129;465;36;111;551
425;723;113;277;273;214;617;384;168;287;248;723
426;1;156;447;15;77;679;164;240;281;104;679
427;595;565;496;526;207;131;36;356;58;352;595
428;433;241;255;402;34;339;304;86;144;44;339
429;247;126;156;389;555;452;191;202;202;311;247
430;19;31;81;474;14;709;375;311;91;374;709
431;410;133;56;15;156;278;213;279;223;69;410
432;103;214;195;36;212;142;59;192;565;201;103
433;37;29;33;174;241;337;25;269;490;565;337
434;453;390;188;92;76;29;164;70;102;38;453
435;73;70;174;91;214;113;290;156;523;280;113
436;374;352;38;445;15;87;510;218;148;417;374
437;634;369;374;23;226;784;126;433;241;148;784
438;681;233;96;409;226;790;58;130;33;229;681
439;181;226;445;207;173;765;39;39;15;324;181
440;584;153;523;92;214;498;92;210;36;179;498
441;586;442;120;263;33;590;421;184;611;443;590
442;732;98;610;339;363;1;210;437;290;290;732
443;478;218;129;270;271;524;210;259;97;210;478
444;734;106;182;527;522;19;500;445;563;241;19
445;634;173;1;231;194;348;555;58;269;269;634
446;567;263;247;44;70;755;81;376;215;567;567
447;354;261;394;115;590;82;174;90;523;237;354
448;417;359;70;25;610;783;173;164;219;425;417
449;420;129;86;105;149;85;290;31;97;457;420
450;610;311;73;263;203;215;447;241;92;6;610
451;350;253;400;291;555;160;38;83;43;115;350
452;122;25;99;426;86;588;277;226;230;207;588
453;159;290;416;214;268;77;499;373;196;213;159
454;398;586;153;240;496;598;216;482;283;57;398
455;300;116;403;363;97;704;259;447;201;587;704
456;508;324;258;55;416;293;173;77;369;156;508
457;763;157;237;396;196;685;523;88;85;397;685
458;428;565;99;93;29;203;111;402;148;36;428
459;509;237;97;173;512;199;270;383;258;133;509
460;106;227;164;277;270;592;57;213;287;240;106
461;550;228;610;196;164;394;10;43;428;364;550
462;310;358;207;68;33;48;173;18;477;114;48
463;80;341;109;620;445;314;468;263;25;240;314
464;463;522;16;314;525;203;173;14;480;178;463
465;484;445;189;421;468;9;497;68;129;389;9
466;700;279;38;216;224;49;200;76;79;71;700
467;437;53;398;36;10;533;310;187;565;86;533
468;73;501;144;223;445;485;214;350;248;149;73
469;627;89;291;534;335;314;89;164;359;445;314
470;216;476;129;14;149;657;240;555;92;351;216
471;126;129;349;55;311;617;241;290;205;29;126
472;632;259;270;237;97;707;203;261;599;414;707
473;692;335;31;104;269;331;445;207;164;240;692
474;11;57;249;258;156;309;104;58;453;363;309
475;483;481;363;259;231;22;363;445;115;237;483
476;665;164;263;192;565;170;213;436;126;267;170
477;540;478;227;599;92;337;29;223;157;332;540
478;39;116;445;557;87;299;447;106;263;129;299
479;761;240;189;108;108;762;565;258;290;216;762
480;441;253;280;523;145;1;148;124;148;206;441
481;434;565;46;104;526;137;104;131;156;339;137
482;700;201;237;14;179;433;207;496;33;33;700
483;52;115;206;99;216;379;173;246;216;244;379
484;158;432;113;115;97;171;436;111;111;38;158
485;769;347;414;444;231;374;276;206;503;163;769
486;789;495;523;196;159;690;211;372;565;257;690
487;393;497;15;404;248;255;166;166;166;166;255
488;307;94;472;214;278;741;234;203;111;237;307
489;528;261;374;370;502;492;510;218;232;434;528
490;212;241;148;204;497;24;18;18;143;314;24
491;99;128;103;290;131;173;99;103;34;231;99
492;58;85;241;91;163;253;199;356;218;196;58
493;226;67;188;5;99;289;33;81;81;527;226
494;365;384;589;200;153;609;496;403;117;219;365
495;409;36;52;363;173;532;506;466;84;156;409
496;647;33;263;263;531;294;68;203;331;73;647
497;15;334;450;527;527;756;347;94;203;496;756
498;196;264;482;241;215;774;408;414;175;175;196
499;265;164;218;241;173;68;216;290;226;482;265
500;564;104;67;331;565;749;180;158;442;115;749
501;750;206;425;427;514;248;156;492;83;220;248
502;142;102;102;53;259;107;152;38;14;258;142
503;427;360;249;126;173;404;334;104;182;589;427
504;454;276;372;53;374;302;445;237;54;614;302
505;323;217;453;48;340;574;290;283;157;315;574
506;262;523;416;192;450;67;114;145;249;189;67
507;710;120;371;374;182;434;214;428;523;237;710
508;291;522;432;332;203;666;525;218;162;565;291
509;233;213;156;29;92;445;207;98;196;205;233
510;126;97;56;402;311;494;173;184;349;445;494
511;252;479;445;479;227;108;352;318;445;469;108
512;69;115;231;168;92;212;33;571;213;244;212
513;120;70;290;33;431;342;231;527;92;263;120
514;224;242;70;565;205;173;330;37;313;610;173
515;695;213;46;182;458;94;50;324;32;182;94
516;672;92;241;374;530;355;436;479;261;270;672
517;409;111;510;337;405;254;36;285;207;565;409
518;195;92;68;5;164;607;178;320;241;565;607
519;528;9;278;278;469;327;9;247;94;567;327
520;127;99;225;117;156;81;414;223;445;5;127
521;698;496;488;106;52;336;8;154;164;240;336
522;422;416;484;129;102;705;496;253;373;216;705
523;432;220;473;92;76;397;324;39;181;102;432
524;409;366;240;334;53;376;506;60;447;471;409
525;582;103;97;218;218;424;164;263;241;270;424
526;521;49;104;203;14;268;29;401;280;157;521
527;304;363;212;94;45;708;141;432;446;383;708
528;385;285;401;495;565;492;237;239;91;38;492
529;560;184;409;33;372;70;25;259;228;50;560
530;545;442;200;356;249;149;263;433;231;240;149
531;68;164;371;258;283;362;36;202;565;403;362
532;672;421;104;442;351;732;218;369;175;495;732
533;632;228;343;404;180;14;81;527;81;33;632
534;641;496;472;282;115;341;497;45;273;240;341
535;365;92;138;207;240;428;164;85;182;219;428
536;594;203;92;7;156;425;210;479;218;510;425
537;764;196;184;607;164;529;445;7;189;421;764
538;397;43;180;184;216;161;29;53;164;35;397
539;111;100;145;99;384;670;219;53;610;315;670
540;219;203;97;445;538;738;214;496;347;202;219
541;408;182;92;280;410;647;28;213;526;312;647
542;516;401;164;36;201;107;92;106;276;206;107
543;622;263;118;510;501;736;76;565;46;497;736
544;212;502;247;487;247;128;250;216;92;210;212
545;685;109;189;214;428;648;26;235;412;402;648
546;406;97;445;346;53;420;210;445;226;129;420
547;501;422;352;34;446;689;306;542;129;507;689
548;533;527;572;432;86;211;263;168;21;250;533
549;413;280;70;280;446;580;19;526;253;403;413
550;74;130;370;5;184;277;306;290;394;174;277
551;460;450;60;502;214;713;437;414;290;219;713
552;450;43;324;422;38;8;225;68;488;481;8
553;376;138;524;356;377;196;200;470;111;174;196
554;292;334;334;527;450;510;34;420;23;17;510
555;282;67;518;419;374;186;57;173;86;486;282
556;384;366;240;241;526;699;398;290;92;53;699
557;295;227;92;341;331;741;36;173;157;203;741
558;346;263;70;120;203;790;249;469;535;36;346
559;269;270;197;189;225;187;527;216;231;111;269
560;45;171;510;69;280;323;258;205;36;263;323
561;89;290;442;443;203;778;218;492;113;393;778
562;151;362;69;431;397;238;201;34;479;237;151
563;774;446;347;484;201;667;272;356;356;97;774
564;266;103;246;207;416;301;369;218;355;156;301
565;602;175;15;219;285;375;445;57;250;282;375
566;31;219;86;351;435;490;92;466;257;417;490
567;92;237;203;114;282;182;92;148;363;398;92
568;588;281;204;93;283;390;496;270;220;38;588
569;476;361;396;189;253;434;202;254;46;46;476
570;360;263;44;303;310;426;56;102;374;322;426
571;101;7;102;180;445;21;29;365;253;28;21
572;267;363;280;189;214;182;208;154;482;263;267
573;245;56;432;60;157;72;100;427;213;69;72
574;10;93;102;263;57;17;450;527;450;81;17
575;110;268;92;85;521;425;359;5;156;90;425
